"Ta","Humidity","maxTime","Pdgrowth"
-3,66,504,0.0656882233098009
-2,66,576,0.0750720421163689
-1,66,648,0.0844558609229368
0,66,720,0.0938396797295047
1,66,840,0.109479377740451
2,66,984,0.128247015353587
3,66,1200,0.156398471773291
4,66,1512,0.197061686601753
5,66,2088,0.272132237054296
6,66,3312,0.431657156765952
7,66,3000,0.452312269686593
8,66,2712,0.462127407203013
9,66,2400,0.453377750493902
10,66,2136,0.43971645450685
11,66,1872,0.413096175073101
12,66,1656,0.385090061855089
13,66,1440,0.346160972314609
14,66,1272,0.308772031932861
15,66,1104,0.262342305854049
16,66,960,0.213478260924504
17,66,840,0.162452917180938
18,66,744,0.108549603333094
19,66,648,0.047609910573146
20,66,576,0
21,66,504,0
22,66,432,0
-10,67,312,0.0425036198442251
-9,67,336,0.0457730091307891
-8,67,336,0.0457730091307891
-7,67,384,0.0523117877039172
-6,67,408,0.0555811769904813
-5,67,432,0.0588505662770453
-4,67,480,0.0653893448501733
-3,67,504,0.0686587341367375
-2,67,576,0.0784669019964296
-1,67,648,0.0882750698561217
0,67,720,0.0980832377158138
1,67,840,0.114430184148634
2,67,984,0.134046519868018
3,67,1200,0.163471023447095
4,67,1512,0.205973084172427
5,67,2088,0.284438427049964
6,67,3312,0.451177280664731
7,67,3000,0.472766445892936
8,67,2712,0.48302543728135
9,67,2400,0.473880109191937
10,67,2136,0.459601030814152
11,67,1872,0.431776946127502
12,67,1656,0.402504358367436
13,67,1440,0.361814842434886
14,67,1272,0.322735123301399
15,67,1104,0.274205781841634
16,67,960,0.223132038320813
17,67,840,0.169799259113152
18,67,744,0.113458364077617
19,67,648,0.0497628955025757
20,67,576,0
21,67,504,0
22,67,432,0
-10,68,312,0.0444547997052225
-9,68,336,0.0478742742446917
-8,68,336,0.0478742742446917
-7,68,384,0.0547132233236301
-6,68,408,0.0581326978630993
-5,68,432,0.0615521724025684
-4,68,480,0.0683911214815068
-3,68,504,0.071810596020976
-2,68,576,0.0820690196393836
-1,68,648,0.0923274432577911
0,68,720,0.102585866876199
1,68,840,0.119683239573545
2,68,984,0.14020008681036
3,68,1200,0.170975357665582
4,68,1512,0.215428526678682
5,68,2088,0.297495915625942
6,68,3312,0.47188911713887
7,68,3000,0.494469358999219
8,68,2712,0.505199301743411
9,68,2400,0.495634146353275
10,68,2136,0.480699569684603
11,68,1872,0.451598186878634
12,68,1656,0.420981805721064
13,68,1440,0.378424388552518
14,68,1272,0.337550667843961
15,68,1104,0.286793528514961
16,68,960,0.233375183283772
17,68,840,0.17759409861172
18,68,744,0.118666806931692
19,68,648,0.052047321155859
20,68,576,0
21,68,504,0
22,68,432,0
-10,69,312,0.0465288506661711
-9,69,336,0.0501078617349139
-8,69,336,0.0501078617349139
-7,69,384,0.0572658838723995
-6,69,408,0.0608448949411423
-5,69,432,0.0644239060098852
